"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 50","23 Sep 2026","17902.45","17979.65","17873.35","17979.65"
"NIFTY MIDCAP 50","22 Sep 2026","17909.35","17949","17812.4","17878.60"
"NIFTY MIDCAP 50","21 Sep 2026","17835.35","17920.55","17825.45","17879.65"
"NIFTY MIDCAP 50","18 Sep 2026","17761.35","17882.9","17757.5","17882.90"
"NIFTY MIDCAP 50","17 Sep 2026","17567.25","17789.8","17561.6","17728.75"
"NIFTY MIDCAP 50","16 Sep 2026","17607.9","17662.65","17373.7","17560.10"
"NIFTY MIDCAP 50","15 Sep 2026","18015.7","18040.6","17556.35","17556.35"
"NIFTY MIDCAP 50","11 Sep 2026","17827.7","17955.5","17655.15","17929.75"
"NIFTY MIDCAP 50","10 Sep 2026","17976.3","17987.35","17878.25","17928.70"
"NIFTY MIDCAP 50","09 Sep 2026","17980.5","18046.8","17949.9","17994.10"
"NIFTY MIDCAP 50","08 Sep 2026","18037.95","18109.55","17984.9","18093.00"
"NIFTY MIDCAP 50","07 Sep 2026","18126.45","18159.7","18004.65","18051.60"
"NIFTY MIDCAP 50","04 Sep 2026","18185.7","18226.2","18114.65","18127.75"
"NIFTY MIDCAP 50","03 Sep 2026","18165.2","18181.3","18066.35","18170.25"
"NIFTY MIDCAP 50","02 Sep 2026","18136.7","18138.3","17966.55","18120.20"
"NIFTY MIDCAP 50","01 Sep 2026","18416.9","18418.05","18174.25","18248.80"
"NIFTY MIDCAP 50","31 Aug 2026","18380.9","18491.45","18207.75","18491.45"
"NIFTY MIDCAP 50","28 Aug 2026","18377.65","18449.25","18360.35","18405.80"
"NIFTY MIDCAP 50","27 Aug 2026","18414.9","18452","18348.45","18361.75"
"NIFTY MIDCAP 50","26 Aug 2026","18446.1","18500.95","18380.6","18380.60"
"NIFTY MIDCAP 50","25 Aug 2026","18330.55","18412.25","18265.15","18412.25"
"NIFTY MIDCAP 50","24 Aug 2026","18334.65","18358.8","18283.7","18331.75"
"NIFTY MIDCAP 50","21 Aug 2026","18307.25","18320.25","18226","18320.25"
"NIFTY MIDCAP 50","20 Aug 2026","18319.45","18385.85","18283.7","18300.65"
"NIFTY MIDCAP 50","19 Aug 2026","18236.8","18242.65","18148.85","18220.70"
"NIFTY MIDCAP 50","18 Aug 2026","18257.5","18273.05","18188.05","18216.80"
"NIFTY MIDCAP 50","17 Aug 2026","18231.55","18323.95","18185.4","18279.00"
"NIFTY MIDCAP 50","14 Aug 2026","18399.55","18403.5","18260.65","18260.65"
"NIFTY MIDCAP 50","13 Aug 2026","18347.9","18396.35","18288.7","18396.35"
"NIFTY MIDCAP 50","12 Aug 2026","18333.25","18355.95","18197","18355.95"
"NIFTY MIDCAP 50","11 Aug 2026","18319.95","18327.05","18219.15","18312.35"
"NIFTY MIDCAP 50","10 Aug 2026","18208.95","18336.75","18155.75","18298.90"
"NIFTY MIDCAP 50","07 Aug 2026","18100.85","18225.6","18083.45","18172.60"
"NIFTY MIDCAP 50","06 Aug 2026","18256.9","18258.65","18115.9","18125.25"
"NIFTY MIDCAP 50","05 Aug 2026","18323.8","18324.45","18179.35","18218.45"
"NIFTY MIDCAP 50","04 Aug 2026","18306.55","18306.55","18127.9","18215.85"
"NIFTY MIDCAP 50","03 Aug 2026","18188.75","18301.85","18140.6","18301.85"
"NIFTY MIDCAP 50","31 Jul 2026","18061.1","18143.1","17976.1","18105.85"
"NIFTY MIDCAP 50","30 Jul 2026","18062.05","18091.15","17959.2","18028.65"
"NIFTY MIDCAP 50","29 Jul 2026","18065.75","18120.2","18036.25","18087.70"
"NIFTY MIDCAP 50","28 Jul 2026","17954.3","18047.4","17936.5","17973.90"
"NIFTY MIDCAP 50","27 Jul 2026","17857.5","17947.3","17856.95","17935.25"
"NIFTY MIDCAP 50","24 Jul 2026","17581.3","17732.35","17478.3","17709.45"
"NIFTY MIDCAP 50","23 Jul 2026","17823.6","17862.95","17647.7","17690.50"
"NIFTY MIDCAP 50","22 Jul 2026","18073.7","18073.8","17855.65","17884.15"
"NIFTY MIDCAP 50","21 Jul 2026","18052.6","18108.45","18024.65","18091.20"
"NIFTY MIDCAP 50","20 Jul 2026","17902","18068.35","17867.5","18040.15"
"NIFTY MIDCAP 50","17 Jul 2026","18014.65","18018.15","17842.1","17930.85"
"NIFTY MIDCAP 50","16 Jul 2026","18078.8","18096.65","17939.8","17985.10"
"NIFTY MIDCAP 50","15 Jul 2026","18034.95","18114.45","17992.7","18036.75"
"NIFTY MIDCAP 50","14 Jul 2026","18019.6","18066.9","17944.95","17988.15"
"NIFTY MIDCAP 50","13 Jul 2026","17953.85","18106.85","17910.6","18089.55"
"NIFTY MIDCAP 50","10 Jul 2026","17977.8","18069.2","17954.25","18059.50"
"NIFTY MIDCAP 50","09 Jul 2026","17651.95","17892.4","17648.15","17844.50"
"NIFTY MIDCAP 50","08 Jul 2026","17775.75","17861.5","17506.15","17604.45"
"NIFTY MIDCAP 50","07 Jul 2026","17904.7","17909.45","17763","17864.05"
"NIFTY MIDCAP 50","06 Jul 2026","17819.95","17871.25","17765.15","17863.55"
"NIFTY MIDCAP 50","03 Jul 2026","17905","17905","17767.55","17783.25"
"NIFTY MIDCAP 50","02 Jul 2026","17786.25","17847.85","17761.5","17806.00"
"NIFTY MIDCAP 50","01 Jul 2026","17643.55","17730.8","17636.2","17716.10"
"NIFTY MIDCAP 50","30 Jun 2026","17568.2","17669","17475.55","17594.90"
"NIFTY MIDCAP 50","29 Jun 2026","17573.8","17635.75","17437.15","17521.00"
"NIFTY MIDCAP 50","25 Jun 2026","17767.35","17800.75","17568.1","17587.85"
"NIFTY MIDCAP 50","24 Jun 2026","17637.25","17749.9","17552.15","17690.30"
"NIFTY MIDCAP 50","23 Jun 2026","17818.05","17853.8","17611.9","17639.80"
"NIFTY MIDCAP 50","22 Jun 2026","17814.1","17843.85","17759.95","17800.45"
"NIFTY MIDCAP 50","19 Jun 2026","17618.15","17755.7","17579.55","17735.30"
"NIFTY MIDCAP 50","18 Jun 2026","17693.25","17730.45","17650.5","17716.85"
"NIFTY MIDCAP 50","17 Jun 2026","17656.25","17695.6","17565.85","17659.65"
"NIFTY MIDCAP 50","16 Jun 2026","17570.75","17615.95","17483.7","17607.15"
"NIFTY MIDCAP 50","15 Jun 2026","17541.15","17591.7","17471.3","17501.90"
"NIFTY MIDCAP 50","12 Jun 2026","17083.85","17281.75","16985.3","17265.90"
"NIFTY MIDCAP 50","11 Jun 2026","16927.65","16983.55","16832.9","16865.50"
"NIFTY MIDCAP 50","10 Jun 2026","17264.7","17287.1","16966.55","17005.20"
"NIFTY MIDCAP 50","09 Jun 2026","17139.5","17274.8","17123.25","17248.10"
"NIFTY MIDCAP 50","08 Jun 2026","16973.05","17208.4","16936.55","17039.15"
"NIFTY MIDCAP 50","05 Jun 2026","17323.5","17382.05","17129","17198.90"
"NIFTY MIDCAP 50","04 Jun 2026","17140","17362.55","17080.65","17264.65"
"NIFTY MIDCAP 50","03 Jun 2026","17274.1","17280.15","16975.1","17190.50"
"NIFTY MIDCAP 50","02 Jun 2026","17162.95","17318.7","17088.2","17287.30"
"NIFTY MIDCAP 50","01 Jun 2026","17556.55","17583.8","17253.05","17279.20"
"NIFTY MIDCAP 50","29 May 2026","17850","17859.1","17448.7","17490.55"
"NIFTY MIDCAP 50","27 May 2026","17762.6","17843","17709.3","17754.95"
"NIFTY MIDCAP 50","26 May 2026","17673.9","17764.75","17633.75","17741.15"
"NIFTY MIDCAP 50","25 May 2026","17637.85","17672.3","17588.4","17650.60"
"NIFTY MIDCAP 50","22 May 2026","17513.2","17516.1","17393","17478.25"
"NIFTY MIDCAP 50","21 May 2026","17620.45","17660","17413.55","17454.10"
"NIFTY MIDCAP 50","20 May 2026","17296.2","17521.2","17248.9","17499.80"
"NIFTY MIDCAP 50","19 May 2026","17318.7","17549.3","17318.55","17413.75"
"NIFTY MIDCAP 50","18 May 2026","17163.9","17284.4","16981.55","17261.35"
"NIFTY MIDCAP 50","15 May 2026","17404.9","17432.7","17248.9","17273.15"
"NIFTY MIDCAP 50","14 May 2026","17257.3","17389.1","17093.15","17357.50"
"NIFTY MIDCAP 50","13 May 2026","17082.25","17293.85","17002.8","17156.90"
"NIFTY MIDCAP 50","12 May 2026","17468.25","17494.9","17036.3","17055.50"
"NIFTY MIDCAP 50","11 May 2026","17543.7","17609.3","17391.55","17481.05"
"NIFTY MIDCAP 50","08 May 2026","17636.55","17686.3","17555.45","17628.20"
"NIFTY MIDCAP 50","07 May 2026","17470.75","17644.1","17420.55","17617.55"
"NIFTY MIDCAP 50","06 May 2026","17201.85","17395.15","17168","17372.95"
"NIFTY MIDCAP 50","05 May 2026","16984.4","17029.3","16887.15","16997.60"
"NIFTY MIDCAP 50","04 May 2026","17002.5","17098.65","16876.45","16984.90"
"NIFTY MIDCAP 50","30 Apr 2026","16959.55","16962.35","16741.9","16882.50"
"NIFTY MIDCAP 50","29 Apr 2026","17139.65","17209.95","17001.65","17029.30"
"NIFTY MIDCAP 50","28 Apr 2026","17017.25","17093.55","16981.6","17039.85"
"NIFTY MIDCAP 50","27 Apr 2026","16812.8","17032.25","16796.55","16996.20"
"NIFTY MIDCAP 50","24 Apr 2026","16961.95","16995.3","16670.05","16741.75"
"NIFTY MIDCAP 50","23 Apr 2026","16995.7","17034.75","16907.45","16936.05"
"NIFTY MIDCAP 50","22 Apr 2026","17020.25","17113.45","16989.85","17057.20"
"NIFTY MIDCAP 50","21 Apr 2026","17009.85","17128.65","17002.1","17061.25"
"NIFTY MIDCAP 50","20 Apr 2026","17055.15","17117","16893.15","16981.80"
"NIFTY MIDCAP 50","17 Apr 2026","16840.15","17035.3","16769.35","17014.60"
"NIFTY MIDCAP 50","16 Apr 2026","16832.8","16887.35","16659.55","16804.80"
"NIFTY MIDCAP 50","15 Apr 2026","16598.4","16724.35","16563.5","16699.40"
"NIFTY MIDCAP 50","13 Apr 2026","16128.65","16393.15","16020.9","16326.30"
