"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDCAP 150","23 Sep 2026","22824.55","22937.25","22821.75","22928.85"
"NIFTY MIDCAP 150","22 Sep 2026","22861.85","22908.75","22726.95","22787.20"
"NIFTY MIDCAP 150","21 Sep 2026","22832.65","22872.25","22780.35","22816.80"
"NIFTY MIDCAP 150","18 Sep 2026","22618.05","22915.25","22615.1","22901.85"
"NIFTY MIDCAP 150","17 Sep 2026","22375.2","22624.05","22356.95","22568.85"
"NIFTY MIDCAP 150","16 Sep 2026","22397.6","22451.9","22101.2","22368.80"
"NIFTY MIDCAP 150","15 Sep 2026","22929.55","22956.8","22358.8","22358.80"
"NIFTY MIDCAP 150","11 Sep 2026","22769.75","22869.8","22569.05","22847.85"
"NIFTY MIDCAP 150","10 Sep 2026","22978.15","22992.65","22851.45","22904.25"
"NIFTY MIDCAP 150","09 Sep 2026","23002.55","23056","22938.65","22990.95"
"NIFTY MIDCAP 150","08 Sep 2026","23068.8","23103.7","22981.85","23089.95"
"NIFTY MIDCAP 150","07 Sep 2026","23172.75","23201.15","23013.95","23062.25"
"NIFTY MIDCAP 150","04 Sep 2026","23229.75","23278.65","23163.35","23168.35"
"NIFTY MIDCAP 150","03 Sep 2026","23187.3","23224.1","23108.1","23220.50"
"NIFTY MIDCAP 150","02 Sep 2026","23139.05","23140","22935.35","23114.75"
"NIFTY MIDCAP 150","01 Sep 2026","23485.3","23485.65","23172.7","23252.70"
"NIFTY MIDCAP 150","31 Aug 2026","23476.75","23544.4","23257.95","23536.80"
"NIFTY MIDCAP 150","28 Aug 2026","23532","23568.5","23463.45","23507.15"
"NIFTY MIDCAP 150","27 Aug 2026","23574.2","23626.85","23486.4","23508.30"
"NIFTY MIDCAP 150","26 Aug 2026","23586.2","23647.5","23529.75","23532.20"
"NIFTY MIDCAP 150","25 Aug 2026","23418.85","23536.15","23349.85","23528.95"
"NIFTY MIDCAP 150","24 Aug 2026","23445.9","23497.25","23381.8","23423.70"
"NIFTY MIDCAP 150","21 Aug 2026","23410.4","23419.5","23316.8","23407.70"
"NIFTY MIDCAP 150","20 Aug 2026","23435.9","23489.45","23379.15","23388.80"
"NIFTY MIDCAP 150","19 Aug 2026","23383","23391.6","23249.4","23305.60"
"NIFTY MIDCAP 150","18 Aug 2026","23436.9","23458.05","23350.6","23364.90"
"NIFTY MIDCAP 150","17 Aug 2026","23412.3","23490.65","23338.05","23454.95"
"NIFTY MIDCAP 150","14 Aug 2026","23536.9","23545","23410.25","23420.00"
"NIFTY MIDCAP 150","13 Aug 2026","23525.55","23540.25","23458.15","23539.35"
"NIFTY MIDCAP 150","12 Aug 2026","23489.4","23528.9","23355","23521.50"
"NIFTY MIDCAP 150","11 Aug 2026","23502.9","23510.7","23387.7","23459.80"
