"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 50","23 Sep 2026","9918.3","10004.65","9918.05","10002.50"
"NIFTY SMALLCAP 50","22 Sep 2026","9964.3","9984.4","9885.55","9904.85"
"NIFTY SMALLCAP 50","21 Sep 2026","9971.45","9997.45","9923.2","9948.15"
"NIFTY SMALLCAP 50","18 Sep 2026","9805.45","9964.65","9804.75","9956.65"
"NIFTY SMALLCAP 50","17 Sep 2026","9685.75","9812.25","9683.95","9787.75"
"NIFTY SMALLCAP 50","16 Sep 2026","9699.2","9754.7","9532.7","9698.10"
"NIFTY SMALLCAP 50","15 Sep 2026","9995.5","10014.8","9693.35","9713.70"
"NIFTY SMALLCAP 50","11 Sep 2026","9941.5","9959.4","9859.3","9948.20"
"NIFTY SMALLCAP 50","10 Sep 2026","10018.45","10049.85","9985.5","10005.85"
"NIFTY SMALLCAP 50","09 Sep 2026","10048.5","10061.8","10009.9","10018.35"
"NIFTY SMALLCAP 50","08 Sep 2026","10034.75","10063.15","9993.25","10058.10"
"NIFTY SMALLCAP 50","07 Sep 2026","10008.45","10067.95","9988.4","10026.65"
"NIFTY SMALLCAP 50","04 Sep 2026","10022.55","10064.35","10002.3","10019.50"
"NIFTY SMALLCAP 50","03 Sep 2026","9917.05","9996.3","9916.65","9987.95"
"NIFTY SMALLCAP 50","02 Sep 2026","9865.2","9874.1","9794.8","9865.80"
"NIFTY SMALLCAP 50","01 Sep 2026","9947.4","9954.45","9847.75","9909.05"
"NIFTY SMALLCAP 50","31 Aug 2026","9999.45","10003.7","9891","9937.70"
"NIFTY SMALLCAP 50","28 Aug 2026","10040.05","10050.9","9998.8","10015.00"
"NIFTY SMALLCAP 50","27 Aug 2026","10019.5","10050.3","9994.25","10020.90"
"NIFTY SMALLCAP 50","26 Aug 2026","9966.95","10030.75","9963.1","10012.10"
"NIFTY SMALLCAP 50","25 Aug 2026","9931.75","9952.05","9887.65","9950.25"
"NIFTY SMALLCAP 50","24 Aug 2026","10008.65","10032.4","9943.2","9952.25"
"NIFTY SMALLCAP 50","21 Aug 2026","9959.85","10021.75","9943.15","9987.05"
"NIFTY SMALLCAP 50","20 Aug 2026","9903.4","9964.5","9899.1","9901.85"
"NIFTY SMALLCAP 50","19 Aug 2026","9887.4","9893.95","9824.7","9845.60"
"NIFTY SMALLCAP 50","18 Aug 2026","9892.85","9936.45","9868.4","9893.45"
"NIFTY SMALLCAP 50","17 Aug 2026","9885.55","9905.45","9827.75","9901.90"
"NIFTY SMALLCAP 50","14 Aug 2026","9934.85","9957.05","9869.85","9873.95"
"NIFTY SMALLCAP 50","13 Aug 2026","9927.05","9956.55","9913.5","9943.20"
"NIFTY SMALLCAP 50","12 Aug 2026","9961.65","9964.9","9889.8","9914.30"
"NIFTY SMALLCAP 50","11 Aug 2026","9958.3","9981.45","9930.75","9942.80"
"NIFTY SMALLCAP 50","10 Aug 2026","9941.55","9983.75","9913.2","9925.30"
"NIFTY SMALLCAP 50","07 Aug 2026","9937","9965.35","9909.5","9955.90"
"NIFTY SMALLCAP 50","06 Aug 2026","9901.25","9968","9874.55","9945.05"
"NIFTY SMALLCAP 50","05 Aug 2026","9792.5","9866.4","9788.75","9843.15"
"NIFTY SMALLCAP 50","04 Aug 2026","9769","9798.5","9733.3","9751.80"
"NIFTY SMALLCAP 50","03 Aug 2026","9697","9777.8","9676.65","9757.55"
"NIFTY SMALLCAP 50","31 Jul 2026","9627.1","9676.9","9613.75","9644.45"
"NIFTY SMALLCAP 50","30 Jul 2026","9645.9","9649.15","9581.8","9593.10"
"NIFTY SMALLCAP 50","29 Jul 2026","9539.3","9647.8","9515","9641.10"
"NIFTY SMALLCAP 50","28 Jul 2026","9487.85","9510.65","9439.3","9502.55"
"NIFTY SMALLCAP 50","27 Jul 2026","9442.25","9492.65","9428.95","9486.35"
