"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 100","23 Sep 2026","19848.05","19998.2","19847.7","19991.50"
"NIFTY SMALLCAP 100","22 Sep 2026","19904.4","19954.05","19778.55","19815.45"
"NIFTY SMALLCAP 100","21 Sep 2026","19896.15","19955.45","19824.1","19861.50"
"NIFTY SMALLCAP 100","18 Sep 2026","19566.05","19894.45","19565.5","19875.70"
"NIFTY SMALLCAP 100","17 Sep 2026","19363.6","19585.15","19361.95","19535.70"
"NIFTY SMALLCAP 100","16 Sep 2026","19398.5","19471.75","19036.3","19388.30"
"NIFTY SMALLCAP 100","15 Sep 2026","19996.5","20025.2","19380.9","19422.45"
"NIFTY SMALLCAP 100","11 Sep 2026","19893.55","19924.45","19728.1","19906.30"
"NIFTY SMALLCAP 100","10 Sep 2026","20049.35","20100.45","19992.35","20021.95"
"NIFTY SMALLCAP 100","09 Sep 2026","20117.15","20143.2","20021.35","20036.90"
"NIFTY SMALLCAP 100","08 Sep 2026","20121.55","20142.3","20027.25","20133.75"
"NIFTY SMALLCAP 100","07 Sep 2026","20086.45","20160.25","20047.25","20100.20"
"NIFTY SMALLCAP 100","04 Sep 2026","20121.65","20187.8","20077.4","20095.45"
"NIFTY SMALLCAP 100","03 Sep 2026","19904.3","20072.5","19903.75","20050.75"
"NIFTY SMALLCAP 100","02 Sep 2026","19803.4","19833.2","19662.15","19812.25"
"NIFTY SMALLCAP 100","01 Sep 2026","19952.45","19965.55","19759.2","19886.25"
"NIFTY SMALLCAP 100","31 Aug 2026","20061.15","20068.6","19830.55","19931.65"
"NIFTY SMALLCAP 100","28 Aug 2026","20079.6","20129.1","20045.25","20080.00"
"NIFTY SMALLCAP 100","27 Aug 2026","20086.9","20143.55","20012.35","20040.65"
"NIFTY SMALLCAP 100","26 Aug 2026","19953.55","20091.3","19951.1","20067.30"
"NIFTY SMALLCAP 100","25 Aug 2026","19911.4","19926.1","19832.7","19906.60"
"NIFTY SMALLCAP 100","24 Aug 2026","20021.95","20080.3","19911","19926.75"
"NIFTY SMALLCAP 100","21 Aug 2026","19933.9","20031.05","19920.65","19977.75"
"NIFTY SMALLCAP 100","20 Aug 2026","19814.35","19919.4","19810.75","19841.45"
"NIFTY SMALLCAP 100","19 Aug 2026","19809.4","19820.2","19678.65","19707.15"
"NIFTY SMALLCAP 100","18 Aug 2026","19789.95","19868.3","19764.35","19808.85"
"NIFTY SMALLCAP 100","17 Aug 2026","19757.3","19815.95","19674.3","19809.25"
"NIFTY SMALLCAP 100","14 Aug 2026","19874.25","19913.4","19728.6","19738.55"
"NIFTY SMALLCAP 100","13 Aug 2026","19855.75","19898.5","19841.5","19875.10"
"NIFTY SMALLCAP 100","12 Aug 2026","19898.4","19898.75","19786","19821.65"
"NIFTY SMALLCAP 100","11 Aug 2026","19860","19909.6","19834.4","19857.15"
"NIFTY SMALLCAP 100","10 Aug 2026","19840.7","19931.1","19793.25","19813.95"
"NIFTY SMALLCAP 100","07 Aug 2026","19848.55","19927.9","19804.3","19867.80"
"NIFTY SMALLCAP 100","06 Aug 2026","19869.3","19936.55","19806.25","19878.25"
